term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
flagr,0.0001,neutral,1,5,6
vocabul,0.0001,neutral,1,6,7
destin,0.0001,neutral,2,14,16
hahahahahahahah,0.0001,neutral,1,7,8
presenç,0.0001,neutral,2,23,25
brej,0.0001,neutral,1,7,8
traum,0.0001,neutral,1,8,9
representat,0.0001,neutral,1,14,15
oest,0.0001,neutral,1,9,10
evit,0.0001,neutral,2,30,32
exempl,0.0001,neutral,6,72,78
farr,0.0001,neutral,1,4,5
regist,0.0001,neutral,1,5,6
joaquin,0.0001,neutral,1,15,16
bumbum,0.0001,neutral,1,6,7
licenç,0.0001,neutral,1,12,13
volum,0.0001,neutral,1,10,11
tromb,0.0001,neutral,1,9,10
bald,0.0001,neutral,2,20,22
escândal,0.0001,neutral,1,9,10
horri,0.0001,neutral,1,10,11
hahahahhah,0.0001,neutral,1,7,8
reil,0.0001,neutral,1,6,7
aparelh,0.0001,neutral,2,13,15
vácu,0.0001,neutral,1,13,14
roch,0.0001,neutral,2,13,15
velóri,0.0001,neutral,1,4,5
tuit,0.0001,neutral,1,13,14
marketing,0.0001,neutral,1,7,8
mantém,0.0001,neutral,1,5,6
patet,0.0001,neutral,1,4,5
juda,0.0001,neutral,1,4,5
refer,0.0001,neutral,2,12,14
inadmiss,0.0001,neutral,1,4,5
benefíci,0.0001,neutral,2,12,14
blablabl,0.0001,neutral,1,9,10
permit,0.0001,neutral,4,48,52
litr,0.0001,neutral,1,15,16
recif,0.0001,neutral,1,11,12
planej,0.0001,neutral,3,27,30
masculin,0.0001,neutral,2,30,32
bagaç,0.0001,neutral,1,4,5
obedec,0.0001,neutral,1,5,6
boat,0.0001,neutral,2,14,16
canec,0.0001,neutral,1,7,8
correspond,0.0001,neutral,1,8,9
enquadr,0.0001,neutral,1,4,5
contrat,0.0001,neutral,10,123,133
beyoncé,0.0001,neutral,1,7,8
bord,0.0001,neutral,1,6,7
pessim,0.0001,neutral,1,5,6
sinc,0.0001,neutral,6,81,87
mour,0.0001,neutral,1,8,9
pouc,0.0001,neutral,27,358,385
serm,0.0001,neutral,1,4,5
teix,0.0001,neutral,1,13,14
pich,0.0001,neutral,1,7,8
habil,0.0001,neutral,1,4,5
capitã,0.0001,neutral,2,14,16
iphon,0.0001,neutral,3,28,31
condut,0.0001,neutral,1,5,6
refe,0.0001,neutral,1,7,8
concurs,0.0001,neutral,3,42,45
heheh,0.0001,neutral,1,11,12
beck,0.0001,neutral,1,5,6
útel,0.0001,neutral,1,4,5
valent,0.0001,neutral,1,6,7
influ,0.0001,neutral,1,10,11
árvor,0.0001,neutral,1,6,7
lábi,0.0001,neutral,1,5,6
grat,0.0001,neutral,3,42,45
avanç,0.0001,neutral,2,24,26
algarv,0.0001,neutral,1,7,8
bilhet,0.0001,neutral,2,28,30
travess,0.0001,neutral,1,16,17
edit,0.0001,neutral,2,26,28
caraí,0.0001,neutral,1,6,7
acid,0.0001,neutral,2,18,20
etern,0.0001,neutral,3,44,47
preserv,0.0001,neutral,2,16,18
core,0.0001,neutral,4,43,47
lágr,0.0001,neutral,1,16,17
surpres,0.0001,neutral,1,6,7
eupar,0.0001,neutral,1,9,10
humild,0.0001,neutral,2,13,15
equaç,0.0001,neutral,1,7,8
notic,0.0001,neutral,1,7,8
radi,0.0001,neutral,1,9,10
patrimôni,0.0001,neutral,1,4,5
pomb,0.0001,neutral,1,12,13
botafog,0.0001,neutral,1,14,15
consult,0.0001,neutral,2,13,15
sara,0.0001,neutral,1,5,6
misteri,0.0001,neutral,1,8,9
ponh,0.0001,neutral,1,4,5
legisl,0.0001,neutral,1,10,11
conqu,0.0001,neutral,3,36,39
olimpí,0.0001,neutral,1,14,15
incômod,0.0001,neutral,1,4,5
vomit,0.0001,neutral,2,18,20
divid,0.0001,neutral,3,29,32
religi,0.0001,neutral,2,16,18
evangelh,0.0001,neutral,1,6,7
ping,0.0001,neutral,3,26,29
consum,0.0001,neutral,3,28,31
ambos,0.0001,neutral,1,12,13
tecl,0.0001,neutral,2,14,16
asfalt,0.0001,neutral,1,6,7
ombr,0.0001,neutral,1,8,9
nordestin,0.0001,neutral,3,30,33
hashtag,0.0001,neutral,2,18,20
bill,0.0001,neutral,1,6,7
vint,0.0001,neutral,1,8,9
revis,0.0001,neutral,1,16,17
mobiliz,0.0001,neutral,1,7,8
perturb,0.0001,neutral,1,12,13
legal,0.0001,neutral,3,35,38
demonstr,0.0001,neutral,2,17,19
regr,0.0001,neutral,2,26,28
palpit,0.0001,neutral,1,12,13
publ,0.0001,neutral,1,16,17
impuls,0.0001,neutral,1,4,5
autonom,0.0001,neutral,1,5,6
maçã,0.0001,neutral,1,4,5
violenc,0.0001,neutral,1,6,7
crem,0.0001,neutral,2,14,16
amad,0.0001,neutral,1,8,9
disgr,0.0001,neutral,1,4,5
analis,0.0001,neutral,2,20,22
carte,0.0001,neutral,1,6,7
tchau,0.0001,neutral,2,28,30
martin,0.0001,neutral,1,7,8
homenag,0.0001,neutral,1,5,6
manau,0.0001,neutral,2,14,16
civil,0.0001,neutral,1,13,14
observ,0.0001,neutral,2,20,22
teatr,0.0001,neutral,1,10,11
arras,0.0001,neutral,1,16,17
institu,0.0001,neutral,2,25,27
gótic,0.0001,neutral,1,9,10
trav,0.0001,neutral,2,13,15
efeit,0.0001,neutral,2,27,29
prosper,0.0001,neutral,1,5,6
rigor,0.0001,neutral,1,7,8
escap,0.0001,neutral,1,5,6
vegan,0.0001,neutral,2,15,17
famos,0.0001,neutral,1,4,5
mioj,0.0001,neutral,1,10,11
botox,0.0001,neutral,1,4,5
esta,0.0001,neutral,1,10,11
lariss,0.0001,neutral,1,9,10
circul,0.0001,neutral,1,7,8
admit,0.0001,neutral,2,24,26
brag,0.0001,neutral,2,15,17
atir,0.0001,neutral,2,17,19
portugu,0.0001,neutral,3,44,47
inden,0.0001,neutral,1,8,9
cerimón,0.0001,neutral,1,5,6
suéc,0.0001,neutral,1,5,6
filosof,0.0001,neutral,2,17,19
submiss,0.0001,neutral,1,11,12
nord,0.0001,neutral,3,31,34
encaix,0.0001,neutral,1,8,9
bolsonaropresid,0.0001,neutral,1,7,8
hastag,0.0001,neutral,1,4,5
madrast,0.0001,neutral,1,9,10
convenc,0.0001,neutral,1,14,15
esquem,0.0001,neutral,1,11,12
massacr,0.0001,neutral,1,9,10
wellington,0.0001,neutral,1,5,6
encerr,0.0001,neutral,2,14,16
cervej,0.0001,neutral,7,81,88
flór,0.0001,neutral,1,9,10
bochech,0.0001,neutral,1,8,9
costel,0.0001,neutral,1,4,5
inspir,0.0001,neutral,2,27,29
enrol,0.0001,neutral,2,16,18
especul,0.0001,neutral,1,5,6
conclus,0.0001,neutral,2,30,32
judici,0.0001,neutral,3,28,31
excel,0.0001,neutral,3,42,45
portant,0.0001,neutral,2,16,18
trinc,0.0001,neutral,1,5,6
numer,0.0001,neutral,1,7,8
bernard,0.0001,neutral,1,10,11
desonest,0.0001,neutral,2,13,15
mimizent,0.0001,neutral,1,4,5
desperdiç,0.0001,neutral,1,11,12
gamb,0.0001,neutral,2,12,14
card,0.0001,neutral,1,14,15
impact,0.0001,neutral,2,25,27
fumaç,0.0001,neutral,1,8,9
herol,0.0001,neutral,1,9,10
isent,0.0001,neutral,1,6,7
simmm,0.0001,neutral,1,5,6
sensat,0.0001,neutral,3,42,45
extern,0.0001,neutral,1,9,10
afirm,0.0001,neutral,4,40,44
comparec,0.0001,neutral,1,14,15
gauch,0.0001,neutral,1,6,7
desmerec,0.0001,neutral,2,14,16
desconfi,0.0001,neutral,2,18,20
conlui,0.0001,neutral,1,5,6
credit,0.0001,neutral,1,6,7
model,0.0001,neutral,2,21,23
congel,0.0001,neutral,2,12,14
conf,0.0001,neutral,4,49,53
fórum,0.0001,neutral,1,4,5
parcel,0.0001,neutral,1,10,11
favorec,0.0001,neutral,1,6,7
promov,0.0001,neutral,2,23,25
sard,0.0001,neutral,1,4,5
terren,0.0001,neutral,1,4,5
corromp,0.0001,neutral,2,12,14
rejeit,0.0001,neutral,1,9,10
psicológ,0.0001,neutral,2,21,23
silv,0.0001,neutral,3,31,34
aplic,0.0001,neutral,2,25,27
sabot,0.0001,neutral,1,5,6
block,0.0001,neutral,2,30,32
daddy,0.0001,neutral,1,4,5
exam,0.0001,neutral,1,12,13
cpilavatog,0.0001,neutral,1,4,5
verific,0.0001,neutral,1,15,16
proveit,0.0001,neutral,1,8,9
mundi,0.0001,neutral,1,5,6
sombr,0.0001,neutral,1,12,13
soberan,0.0001,neutral,1,9,10
ideal,0.0001,neutral,2,22,24
calabr,0.0001,neutral,1,7,8
palc,0.0001,neutral,1,15,16
posicion,0.0001,neutral,1,6,7
esculhamb,0.0001,neutral,1,4,5
reput,0.0001,neutral,1,6,7
kinnvall,0.0001,neutral,1,7,8
bueir,0.0001,neutral,1,4,5
inclu,0.0001,neutral,2,16,18
nobel,0.0001,neutral,1,4,5
bolsonarotemraza,0.0001,neutral,1,8,9
camarot,0.0001,neutral,2,24,26
especi,0.0001,neutral,1,8,9
camiset,0.0001,neutral,2,24,26
eletrôn,0.0001,neutral,1,4,5
parc,0.0001,neutral,4,52,56
maur,0.0001,neutral,1,12,13
raiv,0.0001,neutral,10,126,136
covil,0.0001,neutral,1,4,5
profer,0.0001,neutral,1,4,5
prior,0.0001,neutral,2,27,29
disc,0.0001,neutral,1,13,14
unid,0.0001,neutral,1,7,8
remedi,0.0001,neutral,1,7,8
altern,0.0001,neutral,1,6,7
básic,0.0001,neutral,3,40,43
tutel,0.0001,neutral,1,4,5
arroz,0.0001,neutral,1,11,12
polem,0.0001,neutral,1,6,7
curv,0.0001,neutral,1,10,11
potenc,0.0001,neutral,1,6,7
lomotif,0.0001,neutral,2,26,28
canud,0.0001,neutral,1,8,9
bols,0.0001,neutral,5,63,68
objet,0.0001,neutral,1,7,8
shot,0.0001,neutral,1,5,6
desprepar,0.0001,neutral,2,12,14
monitor,0.0001,neutral,1,8,9
recom,0.0001,neutral,1,10,11
sobreviv,0.0001,neutral,1,14,15
short,0.0001,neutral,2,13,15
recrut,0.0001,neutral,1,5,6
pagin,0.0001,neutral,1,9,10
surre,0.0001,neutral,1,11,12
milagr,0.0001,neutral,1,6,7
cumpr,0.0001,neutral,3,42,45
conform,0.0001,neutral,1,12,13
grac,0.0001,neutral,2,18,20
cúmul,0.0001,neutral,1,15,16
fich,0.0001,neutral,1,10,11
ressec,0.0001,neutral,1,4,5
justific,0.0001,neutral,3,32,35
disting,0.0001,neutral,1,7,8
adquir,0.0001,neutral,1,7,8
lourenç,0.0001,neutral,1,7,8
coniv,0.0001,neutral,1,9,10
internet,0.0001,neutral,12,164,176
rasg,0.0001,neutral,2,24,26
florest,0.0001,neutral,1,7,8
cent,0.0001,neutral,1,6,7
economic,0.0001,neutral,1,5,6
confiss,0.0001,neutral,1,7,8
question,0.0001,neutral,2,23,25
introduz,0.0001,neutral,1,7,8
orelh,0.0001,neutral,1,16,17
ofens,0.0001,neutral,3,29,32
dobr,0.0001,neutral,2,16,18
googl,0.0001,neutral,2,22,24
heranç,0.0001,neutral,1,5,6
story,0.0001,neutral,1,10,11
mult,0.0001,neutral,2,22,24
desmascar,0.0001,neutral,1,10,11
tirad,0.0001,neutral,1,5,6
pesadel,0.0001,neutral,2,16,18
suspeit,0.0001,neutral,2,23,25
gerent,0.0001,neutral,1,5,6
element,0.0001,neutral,1,8,9
frustr,0.0001,neutral,1,9,10
playlist,0.0001,neutral,1,13,14
bisavó,0.0001,neutral,1,4,5
emprest,0.0001,neutral,2,18,20
catól,0.0001,neutral,2,17,19
salari,0.0001,neutral,1,5,6
protagon,0.0001,neutral,1,13,14
forc,0.0001,neutral,1,8,9
mencion,0.0001,neutral,1,4,5
emit,0.0001,neutral,1,6,7
teim,0.0001,neutral,1,7,8
batist,0.0001,neutral,1,8,9
neném,0.0001,neutral,1,15,16
abacax,0.0001,neutral,1,6,7
catrac,0.0001,neutral,2,12,14
desastr,0.0001,neutral,1,13,14
frald,0.0001,neutral,1,4,5
reprov,0.0001,neutral,1,9,10
duel,0.0001,neutral,1,9,10
indígen,0.0001,neutral,2,18,20
colôn,0.0001,neutral,1,6,7
rapid,0.0001,neutral,2,27,29
rend,0.0001,neutral,3,30,33
calún,0.0001,neutral,2,13,15
rsrsr,0.0001,neutral,2,16,18
odei,0.0001,neutral,10,137,147
profission,0.0001,neutral,1,5,6
tecnolog,0.0001,neutral,1,15,16
nega,0.0001,neutral,1,7,8
refr,0.0001,neutral,1,7,8
desert,0.0001,neutral,1,10,11
circ,0.0001,neutral,2,14,16
geni,0.0001,neutral,1,6,7
olav,0.0001,neutral,1,11,12
shor,0.0001,neutral,1,4,5
socorr,0.0001,neutral,3,38,41
amanhã,0.0001,neutral,9,116,125
choc,0.0001,neutral,3,37,40
modern,0.0001,neutral,2,25,27
limp,0.0001,neutral,6,72,78
descont,0.0001,neutral,2,14,16
biscoit,0.0001,neutral,2,28,30
sele,0.0001,neutral,2,12,14
títul,0.0001,neutral,4,50,54
claud,0.0001,neutral,1,4,5
hambúrgu,0.0001,neutral,1,4,5
caridad,0.0001,neutral,1,9,10
ingrat,0.0001,neutral,1,8,9
gener,0.0001,neutral,2,16,18
ingl,0.0001,neutral,4,40,44
quint,0.0001,neutral,2,15,17
eficaz,0.0001,neutral,1,12,13
cuec,0.0001,neutral,1,12,13
brox,0.0001,neutral,1,4,5
setembr,0.0001,neutral,1,12,13
matemá,0.0001,neutral,1,7,8
reche,0.0001,neutral,1,4,5
amoo,0.0001,neutral,2,16,18
pertin,0.0001,neutral,1,4,5
paraís,0.0001,neutral,1,12,13
poet,0.0001,neutral,1,6,7
chacot,0.0001,neutral,1,10,11
vici,0.0001,neutral,2,26,28
august,0.0001,neutral,1,6,7
guaran,0.0001,neutral,2,12,14
ensai,0.0001,neutral,1,7,8
ston,0.0001,neutral,1,5,6
bagunç,0.0001,neutral,1,14,15
cobert,0.0001,neutral,2,19,21
problemá,0.0001,neutral,1,6,7
estratég,0.0001,neutral,1,10,11
relat,0.0001,neutral,1,16,17
peleg,0.0001,neutral,1,6,7
sincer,0.0001,neutral,2,29,31
exat,0.0001,neutral,7,87,94
vítim,0.0001,neutral,2,25,27
alter,0.0001,neutral,1,8,9
ruiv,0.0001,neutral,1,7,8
rádi,0.0001,neutral,2,27,29
greg,0.0001,neutral,2,14,16
lavajat,0.0001,neutral,1,6,7
pascho,0.0001,neutral,1,4,5
produ,0.0001,neutral,1,12,13
incapaz,0.0001,neutral,1,6,7
manu,0.0001,neutral,2,23,25
repud,0.0001,neutral,1,4,5
quartel,0.0001,neutral,1,6,7
destitu,0.0001,neutral,1,4,5
churrasc,0.0001,neutral,3,37,40
result,0.0001,neutral,4,52,56
bardamerd,0.0001,neutral,1,5,6
vier,0.0001,neutral,2,14,16
dificuldad,0.0001,neutral,2,19,21
amazon,0.0001,neutral,1,7,8
parágraf,0.0001,neutral,1,4,5
goxt,0.0001,neutral,1,5,6
honr,0.0001,neutral,5,64,69
agit,0.0001,neutral,1,6,7
repens,0.0001,neutral,1,4,5
pisc,0.0001,neutral,2,15,17
carolin,0.0001,neutral,1,16,17
sécul,0.0001,neutral,1,16,17
surpreend,0.0001,neutral,2,15,17
garot,0.0001,neutral,18,244,262
pared,0.0001,neutral,2,20,22
indiret,0.0001,neutral,2,29,31
diminu,0.0001,neutral,3,35,38
convém,0.0001,neutral,1,8,9
desc,0.0001,neutral,5,63,68
bairr,0.0001,neutral,2,20,22
maraton,0.0001,neutral,1,9,10
gêni,0.0001,neutral,2,20,22
redor,0.0001,neutral,1,12,13
divin,0.0001,neutral,1,12,13
correi,0.0001,neutral,1,9,10
preven,0.0001,neutral,1,7,8
vírgul,0.0001,neutral,1,5,6
lgbt,0.0001,neutral,2,14,16
atropel,0.0001,neutral,1,9,10
nojoooo,0.0001,neutral,1,4,5
feder,0.0001,neutral,2,13,15
tinh,0.0001,neutral,1,12,13
pont,0.0001,neutral,10,139,149
paran,0.0001,neutral,1,10,11
alem,0.0001,neutral,3,33,36
concorr,0.0001,neutral,2,20,22
adicion,0.0001,neutral,1,11,12
levant,0.0001,neutral,4,53,57
restaurant,0.0001,neutral,2,14,16
liter,0.0001,neutral,2,21,23
compreens,0.0001,neutral,1,10,11
mant,0.0001,neutral,5,53,58
sacrific,0.0001,neutral,1,8,9
poss,0.0001,neutral,20,260,280
deslig,0.0001,neutral,2,25,27
arqu,0.0001,neutral,1,7,8
cresç,0.0001,neutral,1,4,5
ônibu,0.0001,neutral,4,40,44
poup,0.0001,neutral,1,12,13
toqu,0.0001,neutral,1,6,7
incendi,0.0001,neutral,1,4,5
júli,0.0001,neutral,1,10,11
cblol,0.0001,neutral,2,16,18
favel,0.0001,neutral,1,13,14
trox,0.0001,neutral,3,35,38
moren,0.0001,neutral,2,28,30
segred,0.0001,neutral,1,16,17
detest,0.0001,neutral,2,19,21
trab,0.0001,neutral,1,7,8
propriedad,0.0001,neutral,1,7,8
barbi,0.0001,neutral,1,5,6
demoni,0.0001,neutral,1,4,5
benefici,0.0001,neutral,2,15,17
corre,0.0001,neutral,1,11,12
divirt,0.0001,neutral,1,6,7
aconteç,0.0001,neutral,1,6,7
encar,0.0001,neutral,1,8,9
registr,0.0001,neutral,2,16,18
calc,0.0001,neutral,3,30,33
cicl,0.0001,neutral,1,15,16
guerrilh,0.0001,neutral,1,8,9
resolv,0.0001,neutral,8,98,106
humilh,0.0001,neutral,3,27,30
quic,0.0001,neutral,1,8,9
qlqr,0.0001,neutral,1,7,8
indústr,0.0001,neutral,2,28,30
mendig,0.0001,neutral,2,12,14
instal,0.0001,neutral,1,6,7
diverg,0.0001,neutral,1,4,5
tributár,0.0001,neutral,1,6,7
jand,0.0001,neutral,1,6,7
quesit,0.0001,neutral,1,7,8
josé,0.0001,neutral,2,30,32
cinem,0.0001,neutral,2,25,27
hesit,0.0001,neutral,1,4,5
tranquil,0.0001,neutral,6,81,87
adqu,0.0001,neutral,1,7,8
hahahahah,0.0001,neutral,4,45,49
obrigatóri,0.0001,neutral,1,4,5
aéci,0.0001,neutral,1,11,12
ótim,0.0001,neutral,9,116,125
sort,0.0001,neutral,5,63,68
pertub,0.0001,neutral,1,6,7
malandr,0.0001,neutral,1,14,15
ajeit,0.0001,neutral,1,6,7
alun,0.0001,neutral,2,27,29
melh,0.0001,neutral,1,7,8
cium,0.0001,neutral,1,7,8
duvivi,0.0001,neutral,1,9,10
reinald,0.0001,neutral,2,26,28
evangel,0.0001,neutral,1,5,6
tarj,0.0001,neutral,1,5,6
sons,0.0001,neutral,1,13,14
farc,0.0001,neutral,1,8,9
estrang,0.0001,neutral,1,6,7
jornalec,0.0001,neutral,1,4,5
obvi,0.0001,neutral,1,11,12
cliqu,0.0001,neutral,1,9,10
rotul,0.0001,neutral,1,5,6
oprim,0.0001,neutral,1,6,7
ranc,0.0001,neutral,1,4,5
vent,0.0001,neutral,2,21,23
matrícul,0.0001,neutral,1,8,9
apetit,0.0001,neutral,1,5,6
kakakak,0.0001,neutral,1,15,16
xerec,0.0001,neutral,1,7,8
salg,0.0001,neutral,1,11,12
mistur,0.0001,neutral,2,18,20
marq,0.0001,neutral,2,13,15
univers,0.0001,neutral,2,25,27
barã,0.0001,neutral,1,6,7
férias,0.0001,neutral,2,17,19
colh,0.0001,neutral,2,23,25
infl,0.0001,neutral,1,7,8
http,0.0001,neutral,1,15,16
capt,0.0001,neutral,1,4,5
estamp,0.0001,neutral,1,7,8
recalc,0.0001,neutral,1,6,7
shopping,0.0001,neutral,3,30,33
praz,0.0001,neutral,4,41,45
surg,0.0001,neutral,2,22,24
marvel,0.0001,neutral,1,13,14
arranc,0.0001,neutral,1,10,11
trolandocomhumornegr,0.0001,neutral,1,5,6
ling,0.0001,neutral,1,4,5
moviment,0.0001,neutral,1,6,7
suicídi,0.0001,neutral,1,4,5
explod,0.0001,neutral,3,38,41
bendit,0.0001,neutral,1,8,9
control,0.0001,neutral,3,33,36
espec,0.0001,neutral,1,13,14
microfon,0.0001,neutral,1,5,6
depress,0.0001,neutral,3,33,36
cast,0.0001,neutral,1,7,8
submet,0.0001,neutral,1,4,5
fernand,0.0001,neutral,1,13,14
questa,0.0001,neutral,1,7,8
emoç,0.0001,neutral,1,15,16
taxist,0.0001,neutral,1,5,6
sexual,0.0001,neutral,1,9,10
engrav,0.0001,neutral,1,9,10
machuc,0.0001,neutral,2,19,21
fatur,0.0001,neutral,1,5,6
salafr,0.0001,neutral,1,4,5
lisbo,0.0001,neutral,3,37,40
abaf,0.0001,neutral,1,5,6
ahahahahah,0.0001,neutral,1,7,8
formig,0.0001,neutral,1,6,7
masc,0.0001,neutral,1,8,9
difam,0.0001,neutral,1,10,11
raquel,0.0001,neutral,1,14,15
grav,0.0001,neutral,5,68,73
tirotei,0.0001,neutral,1,4,5
advers,0.0001,neutral,2,15,17
conveni,0.0001,neutral,1,5,6
enigm,0.0001,neutral,1,5,6
instru,0.0001,neutral,1,4,5
chat,0.0001,neutral,28,371,399
lent,0.0001,neutral,1,9,10
racharlenhapret,0.0001,neutral,1,7,8
suspens,0.0001,neutral,1,7,8
cidadã,0.0001,neutral,1,6,7
context,0.0001,neutral,1,14,15
abomin,0.0001,neutral,1,7,8
dicion,0.0001,neutral,1,4,5
inaugur,0.0001,neutral,1,9,10
renov,0.0001,neutral,2,15,17
satur,0.0001,neutral,1,12,13
desacredit,0.0001,neutral,1,9,10
dissemin,0.0001,neutral,1,4,5
máquin,0.0001,neutral,1,11,12
impression,0.0001,neutral,3,37,40
vacin,0.0001,neutral,1,11,12
georg,0.0001,neutral,1,10,11
burac,0.0001,neutral,2,27,29
pmdb,0.0001,neutral,1,6,7
miss,0.0001,neutral,2,22,24
pesc,0.0001,neutral,1,4,5
world,0.0001,neutral,1,7,8
passiv,0.0001,neutral,1,14,15
harmon,0.0001,neutral,1,4,5
arthur,0.0001,neutral,2,16,18
bamb,0.0001,neutral,1,16,17
invert,0.0001,neutral,1,6,7
profiss,0.0001,neutral,3,30,33
anón,0.0001,neutral,1,5,6
castel,0.0001,neutral,1,10,11
onibu,0.0001,neutral,1,11,12
taokey,0.0001,neutral,1,5,6
advog,0.0001,neutral,4,45,49
direct,0.0001,neutral,1,9,10
manc,0.0001,neutral,1,8,9
român,0.0001,neutral,1,11,12
saudad,0.0001,neutral,14,176,190
astron,0.0001,neutral,1,14,15
cobranç,0.0001,neutral,1,9,10
absolv,0.0001,neutral,1,4,5
habit,0.0001,neutral,1,16,17
desafor,0.0001,neutral,1,5,6
font,0.0001,neutral,3,43,46
algem,0.0001,neutral,1,4,5
injustiç,0.0001,neutral,1,11,12
priva,0.0001,neutral,1,11,12
indi,0.0001,neutral,1,6,7
desenvolv,0.0001,neutral,3,33,36
palestr,0.0001,neutral,1,15,16
rúss,0.0001,neutral,1,11,12
apont,0.0001,neutral,2,16,18
centav,0.0001,neutral,1,16,17
fetich,0.0001,neutral,1,11,12
físic,0.0001,neutral,4,40,44
confus,0.0001,neutral,2,15,17
escrit,0.0001,neutral,3,38,41
telemó,0.0001,neutral,1,5,6
desm,0.0001,neutral,1,6,7
falh,0.0001,neutral,3,35,38
parç,0.0001,neutral,1,7,8
brot,0.0001,neutral,2,30,32
convoc,0.0001,neutral,2,12,14
crei,0.0001,neutral,2,21,23
ilusã,0.0001,neutral,1,13,14
debaix,0.0001,neutral,1,10,11
proíb,0.0001,neutral,1,11,12
desmor,0.0001,neutral,1,4,5
decepcion,0.0001,neutral,1,16,17
mana,0.0001,neutral,2,14,16
breg,0.0001,neutral,1,11,12
said,0.0001,neutral,1,4,5
descr,0.0001,neutral,1,5,6
invent,0.0001,neutral,6,71,77
revert,0.0001,neutral,1,10,11
rachel,0.0001,neutral,1,13,14
alcoól,0.0001,neutral,1,9,10
exalt,0.0001,neutral,1,11,12
aaah,0.0001,neutral,1,11,12
áudi,0.0001,neutral,3,32,35
reaç,0.0001,neutral,2,28,30
minion,0.0001,neutral,1,4,5
tênu,0.0001,neutral,1,4,5
gerald,0.0001,neutral,1,5,6
denunc,0.0001,neutral,1,8,9
cançã,0.0001,neutral,1,6,7
refuge,0.0001,neutral,1,4,5
fibr,0.0001,neutral,1,7,8
mosc,0.0001,neutral,2,12,14
punhet,0.0001,neutral,2,12,14
hahhahah,0.0001,neutral,1,4,5
joel,0.0001,neutral,1,5,6
appl,0.0001,neutral,1,11,12
clandestin,0.0001,neutral,1,6,7
aleg,0.0001,neutral,1,5,6
sinôn,0.0001,neutral,1,9,10
rock,0.0001,neutral,3,27,30
deriv,0.0001,neutral,1,5,6
faculdad,0.0001,neutral,2,28,30
talv,0.0001,neutral,5,61,66
ilumin,0.0001,neutral,1,11,12
